Velocidad;Angulo;Distancia(X);Distancia(Y);;;Tiempo de vuelo;Tiempo maximo;Angulo en radianes
5;10;5,019407508;0,885056971;;;1,019367992;0,509683996;0,174532925
5;20;4,789462899;1,743221933;;;1,019367992;0,509683996;0,34906585
5;30;4,413992884;2,54841998;;;1,019367992;0,509683996;0,523598776
5;40;3,904405928;3,276185574;;;1,019367992;0,509683996;0,698131701
5;50;3,276185574;3,904405928;;;1,019367992;0,509683996;0,872664626
5;60;2,54841998;4,413992884;;;1,019367992;0,509683996;1,047197551
10;10;20,07763003;3,540227883;;;2,038735984;1,019367992;0,174532925
10;20;19,1578516;6,972887733;;;2,038735984;1,019367992;0,34906585
10;30;17,65597153;10,19367992;;;2,038735984;1,019367992;0,523598776
10;40;15,61762371;13,1047423;;;2,038735984;1,019367992;0,698131701
10;50;13,1047423;15,61762371;;;2,038735984;1,019367992;0,872664626
10;60;10,19367992;17,65597153;;;2,038735984;1,019367992;1,047197551
15;10;45,17466757;7,965512737;;;3,058103976;1,529051988;0,174532925
15;20;43,10516609;15,6889974;;;3,058103976;1,529051988;0,34906585
15;30;39,72593595;22,93577982;;;3,058103976;1,529051988;0,523598776
15;40;35,13965335;29,48567017;;;3,058103976;1,529051988;0,698131701
15;50;29,48567017;35,13965335;;;3,058103976;1,529051988;0,872664626
15;60;22,93577982;39,72593595;;;3,058103976;1,529051988;1,047197551
20;10;80,31052012;14,16091153;;;4,077471967;2,038735984;0,174532925
20;20;76,63140638;27,89155093;;;4,077471967;2,038735984;0,34906585
20;30;70,62388614;40,77471967;;;4,077471967;2,038735984;0,523598776
20;40;62,47049485;52,41896919;;;4,077471967;2,038735984;0,698131701
20;50;52,41896919;62,47049485;;;4,077471967;2,038735984;0,872664626
20;60;40,77471967;70,62388614;;;4,077471967;2,038735984;1,047197551
25;10;125,4851877;22,12642427;;;5,096839959;2,54841998;0,174532925
25;20;119,7365725;43,58054833;;;5,096839959;2,54841998;0,34906585
25;30;110,3498221;63,71049949;;;5,096839959;2,54841998;0,523598776
25;40;97,61014821;81,90463936;;;5,096839959;2,54841998;0,698131701
25;50;81,90463936;97,61014821;;;5,096839959;2,54841998;0,872664626
25;60;63,71049949;110,3498221;;;5,096839959;2,54841998;1,047197551
30;10;180,6986703;31,86205095;;;6,116207951;3,058103976;0,174532925
30;20;172,4206644;62,7559896;;;6,116207951;3,058103976;0,34906585
30;30;158,9037438;91,74311927;;;6,116207951;3,058103976;0,523598776
30;40;140,5586134;117,9426807;;;6,116207951;3,058103976;0,698131701
30;50;117,9426807;140,5586134;;;6,116207951;3,058103976;0,872664626
30;60;91,74311927;158,9037438;;;6,116207951;3,058103976;1,047197551
