Velocidad;Angulo;Distancia(x);Distancia(y);Tiempo de vuelo;;;Tiempo maximo;Velocidad(X);Velocidad(Y);Angulo en radianes
5;10;5,019407508;0,885056971;1,019367992;;;0,509683996;4,924038765;0,868240888;0,174532925
5;20;4,789462899;1,743221933;1,019367992;;;0,509683996;4,698463104;1,710100717;0,34906585
5;30;4,413992884;2,54841998;1,019367992;;;0,509683996;4,330127019;2,5;0,523598776
5;40;3,904405928;3,276185574;1,019367992;;;0,509683996;3,830222216;3,213938048;0,698131701
5;50;3,276185574;3,904405928;1,019367992;;;0,509683996;3,213938048;3,830222216;0,872664626
5;60;2,54841998;4,413992884;1,019367992;;;0,509683996;2,5;4,330127019;1,047197551
10;10;20,07763003;3,540227883;2,038735984;;;1,019367992;9,84807753;1,736481777;0,174532925
10;20;19,1578516;6,972887733;2,038735984;;;1,019367992;9,396926208;3,420201433;0,34906585
10;30;17,65597153;10,19367992;2,038735984;;;1,019367992;8,660254038;5;0,523598776
10;40;15,61762371;13,1047423;2,038735984;;;1,019367992;7,660444431;6,427876097;0,698131701
10;50;13,1047423;15,61762371;2,038735984;;;1,019367992;6,427876097;7,660444431;0,872664626
10;60;10,19367992;17,65597153;2,038735984;;;1,019367992;5;8,660254038;1,047197551
15;10;45,17466757;7,965512737;3,058103976;;;1,529051988;14,7721163;2,604722665;0,174532925
15;20;43,10516609;15,6889974;3,058103976;;;1,529051988;14,09538931;5,13030215;0,34906585
15;30;39,72593595;22,93577982;3,058103976;;;1,529051988;12,99038106;7,5;0,523598776
15;40;35,13965335;29,48567017;3,058103976;;;1,529051988;11,49066665;9,641814145;0,698131701
15;50;29,48567017;35,13965335;3,058103976;;;1,529051988;9,641814145;11,49066665;0,872664626
15;60;22,93577982;39,72593595;3,058103976;;;1,529051988;7,5;12,99038106;1,047197551
20;10;80,31052012;14,16091153;4,077471967;;;2,038735984;19,69615506;3,472963553;0,174532925
20;20;76,63140638;27,89155093;4,077471967;;;2,038735984;18,79385242;6,840402867;0,34906585
20;30;70,62388614;40,77471967;4,077471967;;;2,038735984;17,32050808;10;0,523598776
20;40;62,47049485;52,41896919;4,077471967;;;2,038735984;15,32088886;12,85575219;0,698131701
20;50;52,41896919;62,47049485;4,077471967;;;2,038735984;12,85575219;15,32088886;0,872664626
20;60;40,77471967;70,62388614;4,077471967;;;2,038735984;10;17,32050808;1,047197551
25;10;125,4851877;22,12642427;5,096839959;;;2,54841998;24,62019383;4,341204442;0,174532925
25;20;119,7365725;43,58054833;5,096839959;;;2,54841998;23,49231552;8,550503583;0,34906585
25;30;110,3498221;63,71049949;5,096839959;;;2,54841998;21,65063509;12,5;0,523598776
25;40;97,61014821;81,90463936;5,096839959;;;2,54841998;19,15111108;16,06969024;0,698131701
25;50;81,90463936;97,61014821;5,096839959;;;2,54841998;16,06969024;19,15111108;0,872664626
25;60;63,71049949;110,3498221;5,096839959;;;2,54841998;12,5;21,65063509;1,047197551
30;10;180,6986703;31,86205095;6,116207951;;;3,058103976;29,54423259;5,20944533;0,174532925
30;20;172,4206644;62,7559896;6,116207951;;;3,058103976;28,19077862;10,2606043;0,34906585
30;30;158,9037438;91,74311927;6,116207951;;;3,058103976;25,98076211;15;0,523598776
30;40;140,5586134;117,9426807;6,116207951;;;3,058103976;22,98133329;19,28362829;0,698131701
30;50;117,9426807;140,5586134;6,116207951;;;3,058103976;19,28362829;22,98133329;0,872664626
30;60;91,74311927;158,9037438;6,116207951;;;3,058103976;15;25,98076211;1,047197551
