angulo;Velocidad0;AlcanceMax;Tiempo maximo;Tiempo de Vuelo;Altura maxima
1;5;5,1;0,51;1,02;0,9
1;10;20,41;1,02;2,04;3,61
1;15;45,92;1,53;3,06;8,12
1;20;81,63;2,04;4,08;14,44
1;25;127,55;2,55;5,1;22,56
1;30;183,67;3,06;6,12;32,48
2;5;5,1;0,51;1,02;1,05
2;10;20,41;1,02;2,04;4,21
2;15;45,92;1,53;3,06;9,48
2;20;81,63;2,04;4,08;16,86
2;25;127,55;2,55;5,1;26,34
2;30;183,67;3,06;6,12;37,93
3;5;5,1;0,51;1,02;0,03
3;10;20,41;1,02;2,04;0,1
3;15;45,92;1,53;3,06;0,23
3;20;81,63;2,04;4,08;0,41
3;25;127,55;2,55;5,1;0,63
3;30;183,67;3,06;6,12;0,91
4;5;5,1;0,51;1,02;0,73
4;10;20,41;1,02;2,04;2,92
4;15;45,92;1,53;3,06;6,57
4;20;81,63;2,04;4,08;11,68
4;25;127,55;2,55;5,1;18,25
4;30;183,67;3,06;6,12;26,27
5;5;5,1;0,51;1,02;1,17
5;10;20,41;1,02;2,04;4,69
5;15;45,92;1,53;3,06;10,55
5;20;81,63;2,04;4,08;18,75
5;25;127,55;2,55;5,1;29,29
5;30;183,67;3,06;6,12;42,18
6;5;5,1;0,51;1,02;0,1
6;10;20,41;1,02;2,04;0,4
6;15;45,92;1,53;3,06;0,9
6;20;81,63;2,04;4,08;1,59
6;25;127,55;2,55;5,1;2,49
6;30;183,67;3,06;6,12;3,58
7;5;5,1;0,51;1,02;0,55
7;10;20,41;1,02;2,04;2,2
7;15;45,92;1,53;3,06;4,95
7;20;81,63;2,04;4,08;8,8
7;25;127,55;2,55;5,1;13,75
7;30;183,67;3,06;6,12;19,8
8;5;5,1;0,51;1,02;1,25
8;10;20,41;1,02;2,04;4,99
8;15;45,92;1,53;3,06;11,23
8;20;81,63;2,04;4,08;19,96
8;25;127,55;2,55;5,1;31,18
8;30;183,67;3,06;6,12;44,9
9;5;5,1;0,51;1,02;0,22
9;10;20,41;1,02;2,04;0,87
9;15;45,92;1,53;3,06;1,95
9;20;81,63;2,04;4,08;3,46
9;25;127,55;2,55;5,1;5,41
9;30;183,67;3,06;6,12;7,79
10;5;5,1;0,51;1,02;0,38
10;10;20,41;1,02;2,04;1,51
10;15;45,92;1,53;3,06;3,39
10;20;81,63;2,04;4,08;6,03
10;25;127,55;2,55;5,1;9,43
10;30;183,67;3,06;6,12;13,58
11;5;5,1;0,51;1,02;1,27
11;10;20,41;1,02;2,04;5,1
11;15;45,92;1,53;3,06;11,47
11;20;81,63;2,04;4,08;20,39
11;25;127,55;2,55;5,1;31,85
11;30;183,67;3,06;6,12;45,87
12;5;5,1;0,51;1,02;0,37
12;10;20,41;1,02;2,04;1,47
12;15;45,92;1,53;3,06;3,3
12;20;81,63;2,04;4,08;5,87
12;25;127,55;2,55;5,1;9,17
12;30;183,67;3,06;6,12;13,21
13;5;5,1;0,51;1,02;0,22
13;10;20,41;1,02;2,04;0,9
13;15;45,92;1,53;3,06;2,02
13;20;81,63;2,04;4,08;3,6
13;25;127,55;2,55;5,1;5,62
13;30;183,67;3,06;6,12;8,1
14;5;5,1;0,51;1,02;1,25
14;10;20,41;1,02;2,04;5
14;15;45,92;1,53;3,06;11,25
14;20;81,63;2,04;4,08;20,01
14;25;127,55;2,55;5,1;31,26
14;30;183,67;3,06;6,12;45,01
15;5;5,1;0,51;1,02;0,54
15;10;20,41;1,02;2,04;2,16
15;15;45,92;1,53;3,06;4,85
15;20;81,63;2,04;4,08;8,62
15;25;127,55;2,55;5,1;13,47
15;30;183,67;3,06;6,12;19,4
16;5;5,1;0,51;1,02;0,11
16;10;20,41;1,02;2,04;0,42
16;15;45,92;1,53;3,06;0,95
16;20;81,63;2,04;4,08;1,69
16;25;127,55;2,55;5,1;2,64
16;30;183,67;3,06;6,12;3,8
17;5;5,1;0,51;1,02;1,18
17;10;20,41;1,02;2,04;4,71
17;15;45,92;1,53;3,06;10,6
17;20;81,63;2,04;4,08;18,84
17;25;127,55;2,55;5,1;29,44
17;30;183,67;3,06;6,12;42,4
18;5;5,1;0,51;1,02;0,72
18;10;20,41;1,02;2,04;2,87
18;15;45,92;1,53;3,06;6,47
18;20;81,63;2,04;4,08;11,5
18;25;127,55;2,55;5,1;17,97
18;30;183,67;3,06;6,12;25,87
19;5;5,1;0,51;1,02;0,03
19;10;20,41;1,02;2,04;0,11
19;15;45,92;1,53;3,06;0,26
19;20;81,63;2,04;4,08;0,46
19;25;127,55;2,55;5,1;0,72
19;30;183,67;3,06;6,12;1,03
20;5;5,1;0,51;1,02;1,06
20;10;20,41;1,02;2,04;4,25
20;15;45,92;1,53;3,06;9,56
20;20;81,63;2,04;4,08;16,99
20;25;127,55;2,55;5,1;26,55
20;30;183,67;3,06;6,12;38,23
21;5;5,1;0,51;1,02;0,89
21;10;20,41;1,02;2,04;3,57
21;15;45,92;1,53;3,06;8,03
21;20;81,63;2,04;4,08;14,27
21;25;127,55;2,55;5,1;22,3
21;30;183,67;3,06;6,12;32,11
22;5;5,1;0,51;1,02;0
22;10;20,41;1,02;2,04;0
22;15;45,92;1,53;3,06;0
22;20;81,63;2,04;4,08;0
22;25;127,55;2,55;5,1;0
22;30;183,67;3,06;6,12;0
23;5;5,1;0,51;1,02;0,91
23;10;20,41;1,02;2,04;3,65
23;15;45,92;1,53;3,06;8,21
23;20;81,63;2,04;4,08;14,6
23;25;127,55;2,55;5,1;22,81
23;30;183,67;3,06;6,12;32,85
24;5;5,1;0,51;1,02;1,04
24;10;20,41;1,02;2,04;4,18
